,rank,name,net_worth (in billion $),age,country / territory,source,industry
32,33,Li Ka-shing,38.0,94.0,Hong Kong,Diversified,Diversified
33,34,Ma Huateng,35.3,51.0,China,Internet media,Technology
34,35,Ken Griffin,35.0,54.0,United States,Hedge funds,Finance & Investments
35,35,Miriam Adelson & family,35.0,77.0,United States,Casinos,Gambling & Casinos
36,37,Mark Mateschitz,34.7,30.0,Austria,Red Bull,Food & Beverage
37,38,Robin Zeng,33.4,54.0,Hong Kong,Batteries,Automotive
38,39,Tadashi Yanai & family,32.6,74.0,Japan,Fashion retail,Fashion & Retail
39,40,Len Blavatnik,32.1,65.0,United States,"Music, chemicals",Diversified
40,41,Alain Wertheimer,31.6,74.0,France,Chanel,Fashion & Retail
41,41,Gerard Wertheimer,31.6,72.0,France,Chanel,Fashion & Retail
42,43,Gianluigi Aponte,31.2,82.0,Switzerland,Shipping,Logistics
43,43,Rafaela Aponte-Diamant,31.2,78.0,Switzerland,Shipping,Logistics
44,45,Colin Zheng Huang,30.2,43.0,China,E-commerce,Technology
45,46,Reinhold Wuerth & family,29.7,87.0,Germany,Fasteners,Manufacturing
46,47,Lee Shau Kee,29.5,95.0,Hong Kong,Real estate,Real Estate
47,48,Jeff Yass,28.5,64.0,United States,"Trading, investments",Finance & Investments
48,49,Jim Simons,28.1,84.0,United States,Hedge funds,Finance & Investments
49,50,Stephen Schwarzman,27.8,76.0,United States,Investments,Finance & Investments
50,51,Susanne Klatten,27.4,60.0,Germany,"BMW, pharmaceuticals",Automotive
51,52,Gina Rinehart,27.0,69.0,Australia,Mining,Metals & Mining
52,53,William Lei Ding,26.7,51.0,China,Online games,Technology
53,54,Germán Larrea Mota Velasco & family,26.6,69.0,Mexico,Mining,Metals & Mining
54,55,Shiv Nadar,25.6,77.0,India,Software services,Technology
55,56,Low Tuck Kwong,25.5,74.0,Indonesia,Coal,Energy
56,57,Thomas Peterffy,25.3,78.0,United States,Discount brokerage,Finance & Investments
57,58,Andrey Melnichenko & family,25.2,51.0,Russia,"Fertilizers, coal",Metals & Mining
58,59,Stefan Quandt,24.6,56.0,Germany,BMW,Automotive
59,60,MacKenzie Scott,24.4,52.0,United States,Amazon,Technology
60,61,R. Budi Hartono,24.2,82.0,Indonesia,"Banking, tobacco",Finance & Investments
61,62,Vladimir Potanin,23.7,62.0,Russia,Metals,Metals & Mining
62,63,Jack Ma,23.5,58.0,China,E-commerce,Technology
63,64,He Xiangjian & family,23.4,80.0,China,Home appliances,Manufacturing
64,65,Michael Hartono,23.1,83.0,Indonesia,"Banking, tobacco",Manufacturing
65,65,Iris Fontbona & family,23.1,80.0,Chile,Mining,Metals & Mining
66,67,James Ratcliffe,22.9,70.0,United Kingdom,Chemicals,Manufacturing
67,68,Cyrus Poonawalla,22.6,81.0,India,Vaccines,Healthcare
68,69,Masayoshi Son,22.4,65.0,Japan,"Internet, telecom",Telecom
69,70,Vladimir Lisin,22.1,66.0,Russia,"Steel, transport",Metals & Mining
70,71,Emmanuel Besnier,22.0,52.0,France,Cheese,Food & Beverage
71,72,Leonid Mikhelson & family,21.6,67.0,Russia,"Gas, chemicals",Energy
72,72,Abigail Johnson,21.6,61.0,United States,Fidelity,Finance & Investments
73,74,Wang Wei,21.2,52.0,China,Package delivery,Service
74,74,Lukas Walton,21.2,36.0,United States,Walmart,Fashion & Retail
75,76,Jensen Huang,21.1,60.0,United States,Semiconductors,Technology
76,77,Leonard Lauder,21.0,90.0,United States,Estee Lauder,Fashion & Retail
77,77,Takemitsu Takizaki,21.0,77.0,Japan,Sensors,Manufacturing
78,79,Alexey Mordashov & family,20.9,57.0,Russia,"Steel, investments",Metals & Mining
79,80,Vagit Alekperov,20.5,72.0,Russia,Oil,Energy
80,81,"Thomas Frist, Jr. & family",20.2,84.0,United States,Hospitals,Healthcare
81,82,Andrew Forrest,19.6,61.0,Australia,Mining,Metals & Mining
82,83,Ray Dalio,19.1,73.0,United States,Hedge funds,Finance & Investments
83,84,Wang Wenyin,19.0,55.0,China,"Mining, copper products",Metals & Mining
84,84,Li Shufu,19.0,59.0,China,Automobiles,Automotive
85,86,Eyal Ofer,18.9,72.0,Israel,"Real estate, shipping",Diversified
86,86,Qin Yinglin,18.9,57.0,China,Pig breeding,Food & Beverage
87,88,Wang Chuanfu,18.7,57.0,China,"Batteries, automobiles",Automotive
88,89,David Tepper,18.5,65.0,United States,Hedge funds,Finance & Investments
89,89,Gennady Timchenko,18.5,70.0,Russia,"Oil, gas",Energy
90,89,Harold Hamm & family,18.5,77.0,United States,Oil & gas,Energy
91,92,Daniel Gilbert,18.0,61.0,United States,Quicken Loans,Finance & Investments
92,93,Lakshmi Mittal,17.7,72.0,India,Steel,Metals & Mining
93,94,Savitri Jindal & family,17.5,73.0,India,Steel,Metals & Mining
94,94,Carl Icahn,17.5,87.0,United States,Investments,Finance & Investments
95,94,Steve Cohen,17.5,66.0,United States,Hedge funds,Finance & Investments
96,97,"John Menard, Jr.",17.4,83.0,United States,Home improvement stores,Fashion & Retail
97,97,Donald Bren,17.4,90.0,United States,Real estate,Real Estate
98,99,Rupert Murdoch & family,17.1,92.0,United States,"Newspapers, TV network",Media & Entertainment
99,100,Vicky Safra & family,16.7,70.0,Brazil,Banking,Finance & Investments
100,101,"Theo Albrecht, Jr. & family",16.5,72.0,Germany,"Aldi, Trader Joe's",Fashion & Retail
101,101,Renata Kellnerova & family,16.5,55.0,Czech Republic,"Finance, telecommunications",Finance & Investments
102,103,Li Xiting,16.3,72.0,Singapore,Medical devices,Healthcare
103,104,Eric Schmidt,16.2,67.0,United States,Google,Technology
104,104,Stefan Persson,16.2,75.0,Sweden,H&M,Fashion & Retail
105,106,Michael Platt,16.0,55.0,United Kingdom,Hedge funds,Finance & Investments
106,107,Pang Kang,15.9,67.0,China,Soy sauce,Food & Beverage
107,108,Peter Woo,15.8,76.0,Hong Kong,Real estate,Real Estate
108,108,Jorge Paulo Lemann & family,15.8,83.0,Brazil,Beer,Food & Beverage
109,108,Beate Heister,15.8,71 years,Germany,Supermarkets,Fashion & Retail
111,112,Dilip Shanghvi,15.6,67.0,India,Pharmaceuticals,Healthcare
112,113,Robert Pera,15.5,45.0,United States,Wireless networking,Technology
113,114,Radhakishan Damani,15.3,68.0,India,"Retail, investments",Fashion & Retail
114,115,Huang Shilin,15.2,56.0,China,Batteries,Automotive
115,116,Dhanin Chearavanont,14.9,83.0,Thailand,Diversified,Diversified
116,116,David Green & family,14.9,81.0,United States,Retail,Fashion & Retail
117,118,Charoen Sirivadhanabhakdi,14.8,78.0,Thailand,"Alcohol, real estate",Food & Beverage
118,119,Charlene de Carvalho-Heineken & family,14.7,68.0,Netherlands,Heineken,Food & Beverage
119,120,Xu Hang,14.6,56.0,Hong Kong,Medical devices,Healthcare
120,121,Wei Jianjun & family,14.5,59.0,China,Automobiles,Automotive
121,122,Alisher Usmanov,14.4,69.0,Russia,"Steel, telecom, investments",Metals & Mining
122,123,Goh Cheng Liang,14.3,95.0,Singapore,Paints,Manufacturing
123,124,Aliko Dangote,14.2,65.0,Nigeria,"Cement, sugar",Manufacturing
124,124,Kumar Birla,14.2,55.0,India,Commodities,Diversified
125,126,Kwong Siu-hing,14.1,93.0,Hong Kong,Real estate,Real Estate
126,127,Idan Ofer,14.0,67.0,Israel,Shipping,Diversified
127,128,Lui Che Woo,13.9,94.0,Hong Kong,Casinos/hotels,Gambling & Casinos
128,128,Chen Bang,13.9,57.0,China,Hospitals,Healthcare
129,130,Diane Hendricks,13.7,76.0,United States,Building supplies,Construction & Engineering
130,130,John Fredriksen,13.7,78.0,Cyprus,Shipping,Logistics
131,130,Jan Koum,13.7,47.0,United States,WhatsApp,Technology
132,133,Joseph Lau,13.3,71.0,Hong Kong,Real estate,Real Estate
133,133,Jerry Jones,13.3,80.0,United States,Dallas Cowboys,Sports
134,133,George Kaiser,13.3,80.0,United States,"Oil & gas, banking",Energy
135,136,Lu Xiangyang,13.2,60.0,China,"Automobiles, batteries",Automotive
136,137,Harry Triguboff,13.1,90.0,Australia,Real estate,Real Estate
137,138,Stanley Kroenke,12.9,75.0,United States,"Sports, real estate",Sports
138,138,Uday Kotak,12.9,64.0,India,Banking,Finance & Investments
139,140,Mikhail Fridman,12.6,58.0,Russia,"Oil, banking, telecom",Energy
140,141,Sarath Ratanavadi,12.3,57.0,Thailand,Energy,Energy
141,142,Jiang Rensheng & family,12.2,69.0,China,Vaccines,Healthcare
142,142,Dang Yanbao,12.2,50.0,China,Coal,Metals & Mining
143,144,Shahid Khan,12.1,72.0,United States,Auto parts,Automotive
144,145,Laurene Powell Jobs & family,12.0,59.0,United States,"Apple, Disney",Technology
145,146,Robert Kuok,11.8,99.0,Malaysia,"Palm oil, shipping, property",Diversified
146,147,Stephen Ross,11.6,82.0,United States,Real estate,Real Estate
147,148,Thomas Struengmann & family,11.5,73.0,Germany,Pharmaceuticals,Healthcare
148,148,Pavel Durov,11.5,38.0,United Arab Emirates,Messaging app,Technology
149,148,Andreas Struengmann & family,11.5,73.0,Germany,Pharmaceuticals,Healthcare
150,151,Liu Hanyuan,11.4,59.0,China,Agribusiness,Food & Beverage
151,151,Michael Rubin,11.4,50.0,United States,Online retail,Fashion & Retail
152,153,Mikhail Prokhorov,11.3,57.0,Russia,Investments,Finance & Investments
153,153,Anthony Pratt,11.3,62.0,Australia,Manufacturing,Manufacturing
154,153,Viatcheslav Kantor,11.3,69.0,Russia,"Fertilizer, real estate",Manufacturing
155,153,Israel Englander,11.3,74.0,United States,Hedge funds,Finance & Investments
156,157,Johann Rupert & family,11.1,72.0,South Africa,Luxury goods,Fashion & Retail
157,157,Giorgio Armani,11.1,88.0,Italy,Luxury goods,Fashion & Retail
158,159,Zhang Zhidong,11.0,51.0,China,Internet media,Technology
159,159,Gong Hongjia & family,11.0,58.0,Hong Kong,Video surveillance,Finance & Investments
160,161,Philip Anschutz,10.9,83.0,United States,"Energy, sports, entertainment",Finance & Investments
161,161,Ricardo Salinas Pliego & family,10.9,67.0,Mexico,"Retail, media",Fashion & Retail
162,161,Judy Love & family,10.9,85.0,United States,Gas stations,Fashion & Retail
163,164,Donald Newhouse,10.7,93.0,United States,Media,Media & Entertainment
164,165,Robert Kraft,10.6,81.0,United States,"Manufacturing, New England Patriots",Sports
165,165,Marcel Herrmann Telles,10.6,73.0,Brazil,Beer,Food & Beverage
166,167,Suleiman Kerimov & family,10.5,57.0,Russia,Gold,Finance & Investments
167,167,Changpeng Zhao,10.5,45.0,Canada,Cryptocurrency exchange,Finance & Investments
168,167,Chris Xu,10.5,39.0,China,E-commerce,Fashion & Retail
169,170,Andrew Beal,10.3,70.0,United States,"Banks, real estate",Finance & Investments
170,171,Eduardo Saverin,10.2,41.0,Brazil,Facebook,Technology
171,171,Viktor Rashnikov,10.2,74.0,Russia,Steel,Manufacturing
172,171,Jeffery Hildebrand,10.2,64.0,United States,Oil,Energy
173,171,David Duffield,10.2,82.0,United States,Business software,Technology
174,171,Carl Cook,10.2,60.0,United States,Medical devices,Healthcare
175,171,Mike Cannon-Brookes,10.2,43.0,Australia,Software,Technology
176,171,Christy Walton,10.2,74.0,United States,Walmart,Fashion & Retail
177,171,Georg Schaeffler,10.2,58.0,Germany,Auto parts,Automotive
178,179,Quek Leng Chan,10.1,81.0,Malaysia,"Banking, property",Diversified
179,179,Wu Yajun,10.1,59.0,China,Real estate,Real Estate
180,179,Scott Farquhar,10.1,43.0,Australia,Software,Technology
181,182,Autry Stephens,10.0,85.0,United States,Oil,Energy
182,183,Liu Yongxing,9.9,74.0,China,Diversified,Service
183,184,Melker Schorling & family,9.8,75.0,Sweden,Investments,Finance & Investments
184,184,Tanya Saadé Zeenny,9.8,55.0,France,Shipping,Logistics
185,184,Rodolphe Saadé,9.8,53.0,France,Shipping,Logistics
186,184,"Jacques Saadé, Jr.",9.8,51.0,France,Shipping,Logistics
187,184,Nicolas Puech,9.8,80.0,France,Hermes,Fashion & Retail
188,184,Vinod Adani,9.8,74.0,Cyprus,"Infrastructure, commodities",Diversified
189,190,Michael Kim,9.7,59.0,United States,Private equity,Finance & Investments
190,190,Andrei Guriev & family,9.7,63.0,Russia,Fertilizers,Manufacturing
191,190,Friedhelm Loh,9.7,76.0,Germany,Manufacturing,Manufacturing
192,190,Lei Jun,9.7,53.0,China,Smartphones,Technology
193,190,Sun Piaoyang,9.7,64.0,China,Pharmaceuticals,Healthcare
194,195,Rick Cohen & family,9.6,70.0,United States,Warehouse automation,Technology
195,195,Victoria Mars,9.6,66.0,United States,"Candy, pet food",Food & Beverage
196,195,Jin Baofang,9.6,70.0,China,Solar panels,Energy
197,195,Luo Liguo & family,9.6,67.0,China,Chemicals,Manufacturing
198,195,Valerie Mars,9.6,64.0,United States,"Candy, pet food",Food & Beverage
199,195,Pamela Mars,9.6,62.0,United States,"Candy, pet food",Food & Beverage
200,195,Marijke Mars,9.6,58.0,United States,"Candy, pet food",Food & Beverage
201,202,Vincent Bolloré & family,9.5,71.0,France,Investments,Finance & Investments
202,202,Jim Pattison,9.5,94.0,Canada,Diversified,Diversified
203,204,Wang Xing,9.4,44.0,China,E-commerce,Technology
204,204,Ernesto Bertarelli,9.4,57.0,Switzerland,"Biotech, investments",Healthcare
205,206,James Dyson,9.3,75.0,United Kingdom,Vacuums,Manufacturing
206,206,Brian Chesky,9.3,41.0,United States,Airbnb,Technology
207,208,Azim Premji,9.2,77.0,India,Software services,Technology
208,208,John Malone,9.2,82.0,United States,Cable television,Media & Entertainment
209,208,Daniel Kretinsky,9.2,47.0,Czech Republic,"Energy, investments",Energy
210,208,Antonia Ax:son Johnson & family,9.2,79.0,Sweden,Diversified,Diversified
211,208,Roman Abramovich & family,9.2,56.0,Russia,"Steel, investments",Diversified
212,208,Eric Smidt,9.2,63.0,United States,Hardware stores,Fashion & Retail
213,208,Charles Schwab,9.2,85.0,United States,Discount brokerage,Finance & Investments
214,215,Ivan Glasenberg,9.0,66.0,Switzerland,Mining,Metals & Mining
215,215,Alexander Otto,9.0,55.0,Germany,Real estate,Real Estate
216,215,Wang Liping & family,9.0,57.0,China,Hydraulic machinery,Manufacturing
217,215,Anthony von Mandl,9.0,73.0,Canada,Alcoholic beverages,Food & Beverage
218,215,David Cheriton,9.0,72.0,Canada,Google,Technology
219,220,Kirsten Rausing,8.9,70.0,Sweden,Packaging,Food & Beverage
220,220,Jorn Rausing,8.9,63.0,Sweden,Packaging,Food & Beverage
221,220,Finn Rausing,8.9,68.0,Sweden,Packaging,Food & Beverage
222,223,Dustin Moskovitz,8.8,38.0,United States,Facebook,Sports
223,223,Richard Liu,8.8,49.0,China,E-commerce,Technology
224,223,John Doerr,8.8,71.0,United States,Venture capital,Technology
225,223,Tatyana Bakalchuk,8.8,47.0,Russia,Ecommerce,Fashion & Retail
226,223,Pei Zhenhua,8.8,64.0,China,Batteries,Energy
227,223,Pierre Omidyar,8.8,55.0,United States,"EBay, PayPal",Technology
228,223,Carrie Perrodo & family,8.8,72.0,France,Oil,Energy
229,230,Chen Jianhua,8.7,52.0,China,Chemicals,Manufacturing
230,230,Michael Otto,8.7,79.0,Germany,"Retail, real estate",Fashion & Retail
231,232,Leon Black,8.6,71.0,United States,Private equity,Finance & Investments
232,232,Andreas von Bechtolsheim & family,8.6,67.0,Germany,Google,Technology
233,232,Manuel Villar,8.6,73.0,Philippines,Real estate,Real Estate
234,232,Carlos Alberto Sicupira & family,8.6,75.0,Brazil,Beer,Food & Beverage
235,232,Hasso Plattner & family,8.6,79.0,Germany,Software,Technology
236,232,Ravi Jaipuria,8.6,68.0,India,"Soft drinks, fast food",Food & Beverage
237,232,Graeme Hart,8.6,67.0,New Zealand,Investments,Finance & Investments
238,239,Li Zhenguo & family,8.5,55.0,China,Solar wafers and modules,Manufacturing
239,239,Ann Walton Kroenke,8.5,74.0,United States,Walmart,Fashion & Retail
240,239,"Chase Coleman, III.",8.5,47.0,United States,Investments,Finance & Investments
241,242,Zheng Shuliang & family,8.4,77.0,China,Aluminum products,Metals & Mining
242,242,Nicky Oppenheimer & family,8.4,77.0,South Africa,Diamonds,Metals & Mining
243,242,Jim Kennedy,8.4,75.0,United States,"Media, automotive",Media & Entertainment
244,242,Blair Parry-Okeden,8.4,72.0,United States,"Media, automotive",Media & Entertainment
245,246,John Morris,8.3,75.0,United States,Sporting goods retail,Fashion & Retail
246,246,Stefano Pessina,8.3,81.0,Monaco,Drugstores,Fashion & Retail
248,249,Yang Huiyan & family,8.2,41.0,China,Real estate,Real Estate
249,249,Wang Jianlin,8.2,68.0,China,Real estate,Real Estate
250,249,Kushal Pal Singh,8.2,91.0,India,Real estate,Real Estate
251,249,George Roberts,8.2,79.0,United States,Private equity,Finance & Investments
252,249,Abdulsamad Rabiu,8.2,62.0,Nigeria,"Cement, sugar",Diversified
253,249,German Khan,8.2,61.0,Russia,"Oil, banking, telecom",Energy
254,249,Francis Choi,8.2,75.0,Hong Kong,Real estate,Real Estate
255,256,Karel Komarek,8.1,54.0,Czech Republic,"Oil and gas, IT, lotteries",Gambling & Casinos
256,256,Laurent Dassault,8.1,69.0,France,Diversified,Diversified
257,256,Tilman Fertitta,8.1,65.0,United States,"Houston Rockets, entertainment",Food & Beverage
258,256,Thierry Dassault,8.1,66.0,France,Diversified,Diversified
259,256,Marie-Hélène Habert-Dassault,8.1,58.0,France,Diversified,Diversified
260,261,Nathan Blecharczyk,8.0,39.0,United States,Airbnb,Technology
261,261,Leonid Fedun,8.0,66.0,Russia,Oil,Energy
262,261,Eric Wittouck,8.0,76.0,Belgium,Investments,Finance & Investments
263,261,Pavel Tykac,8.0,58.0,Czech Republic,Coal mines,Metals & Mining
264,261,Robert F. Smith,8.0,60.0,United States,Private equity,Finance & Investments
265,261,Patrick Ryan,8.0,85.0,United States,Insurance,Finance & Investments
266,261,Bernard Marcus,8.0,93.0,United States,Home Depot,Fashion & Retail
267,268,Georg Stumpf,7.9,50.0,Austria,"Real estate, construction",Diversified
268,268,Jay Y. Lee,7.9,54.0,South Korea,Samsung,Technology
269,268,Nancy Walton Laurie,7.9,71.0,United States,Walmart,Fashion & Retail
270,268,Ding Shizhong & family,7.9,52.0,China,Sports apparel,Fashion & Retail
271,268,Orlando Bravo,7.9,52.0,United States,Private equity,Finance & Investments
272,268,David Shaw,7.9,72.0,United States,Hedge funds,Finance & Investments
273,268,Ramzi Musallam,7.9,54.0,United States,Private equity,Finance & Investments
274,268,Andrei Skoch & family,7.9,57.0,Russia,Metals and mining,Metals & Mining
275,276,Rocco Commisso,7.8,73.0,United States,Telecom,Telecom
276,276,Li Shuirong,7.8,66.0,China,Petrochemicals,Manufacturing
277,276,Zhang Congyuan,7.8,75.0,Taiwan,Shoes,Fashion & Retail
278,276,Yao Liangsong,7.8,58.0,China,Furniture,Manufacturing
279,276,Qi Shi & family,7.8,53.0,China,Financial information,Technology
280,276,Lin Shu-hong,7.8,94.0,Taiwan,Petrochemicals,Manufacturing
281,282,Liu Yonghao & family,7.7,71.0,China,Agribusiness,Service
282,282,Robin Li,7.7,54.0,China,Internet search,Technology
283,282,David Geffen,7.7,80.0,United States,"Movies, record labels",Media & Entertainment
284,282,Marie Besnier Beauvalot,7.7,42.0,France,Cheese,Food & Beverage
285,282,Jean-Michel Besnier,7.7,55.0,France,Cheese,Food & Beverage
286,282,Reinhold Schmieding,7.7,68.0,United States,Medical devices,Healthcare
287,282,Henry Samueli,7.7,68.0,United States,Semiconductors,Technology
288,282,Ivar Tollefsen,7.7,61.0,Norway,Real estate,Real Estate
289,290,Cao Renxian,7.6,54.0,China,Photovoltaic equipment,Energy
290,290,Hasmukh Chudgar & family,7.6,89.0,India,Pharmaceuticals,Healthcare
291,290,Andrew Currie,7.6,67.0,United Kingdom,Chemicals,Manufacturing
292,290,Zhong Huijuan,7.6,62.0,China,Pharmaceuticals,Healthcare
293,290,Joseph Tsai,7.6,59.0,Canada,E-commerce,Technology
294,290,Leonard Stern,7.6,85.0,United States,Real estate,Real Estate
295,290,John Reece,7.6,66.0,United Kingdom,Chemicals,Manufacturing
296,290,Philip Ng,7.6,64.0,Singapore,Real Estate,Real Estate
297,290,Joe Gebbia,7.6,41.0,United States,Airbnb,Technology
298,299,Ding Shijia,7.5,59.0,China,Sports apparel,Fashion & Retail
299,299,Charles Butt,7.5,85.0,United States,Supermarkets,Fashion & Retail
300,299,Arthur Blank,7.5,80.0,United States,Home Depot,Sports
301,299,Henry Kravis,7.5,79.0,United States,Private equity,Finance & Investments
302,299,"Paul Tudor Jones, II.",7.5,68.0,United States,Hedge funds,Finance & Investments
303,299,Zhang Yong,7.5,52.0,Singapore,Restaurants,Food & Beverage
304,305,James Goodnight,7.4,80.0,United States,Software,Technology
305,305,Sri Prakash Lohia,7.4,70.0,Indonesia,Petrochemicals,Manufacturing
306,305,Ma Jianrong & family,7.4,59.0,China,"Textiles, apparel",Fashion & Retail
307,305,Harry Stine,7.4,81.0,United States,Agriculture,Food & Beverage
308,305,Nassef Sawiris,7.4,62.0,Egypt,"Construction, investments",Construction & Engineering
309,305,Steven Rales,7.4,72.0,United States,"Manufacturing, investments",Manufacturing
310,305,Robert Ng,7.4,71.0,Singapore,Real estate,Real Estate
311,312,Wang Laichun,7.3,55.0,China,Electronics components,Technology
312,312,Enrique Razon Jr.,7.3,63.0,Philippines,Ports,Logistics
313,312,Anders Holch Povlsen,7.3,50.0,Denmark,Fashion retail,Fashion & Retail
314,312,Iskander Makhmudov,7.3,59.0,Russia,"Mining, metals, machinery",Metals & Mining
315,312,Benu Gopal Bangur,7.3,91.0,India,Cement,Manufacturing
316,317,Don Hankey,7.2,79.0,United States,Auto loans,Finance & Investments
317,317,Richard Kinder,7.2,78.0,United States,Pipelines,Energy
318,317,Guillaume Pousaz,7.2,41.0,Switzerland,Fintech,Finance & Investments
319,317,Zong Qinghou,7.2,77.0,China,Beverages,Food & Beverage
320,317,Takahisa Takahara,7.2,61.0,Japan,Personal care goods,Fashion & Retail
321,317,Terry Gou,7.2,72.0,Taiwan,Electronics,Technology
322,317,Arthur Dantchik,7.2,65.0,United States,"Trading, investments",Finance & Investments
323,317,Jeff Greene,7.2,68.0,United States,"Real estate, investments",Real Estate
324,325,Zhang Hejun,7.1,71.0,China,Electronics,Manufacturing
325,325,Wee Cho Yaw,7.1,94.0,Singapore,Banking,Finance & Investments
326,325,Frederik Paulsen,7.1,72.0,Sweden,Health care,Healthcare
327,325,Liang Wengen,7.1,66.0,China,Construction equipment,Manufacturing
328,325,Tamara Gustavson,7.1,61.0,United States,Self storage,Service
329,325,Johann Graf,7.1,76.0,Austria,Gambling,Gambling & Casinos
330,325,Judy Faulkner,7.1,79.0,United States,Healthcare software,Technology
331,332,Jack Dangermond,7.0,77.0,United States,Mapping software,Technology
332,332,Ashwin Dani & family,7.0,80.0,India,Paints,Manufacturing
333,332,Ralph Lauren,7.0,83.0,United States,Apparel,Fashion & Retail
334,332,Don Vultaggio & family,7.0,71.0,United States,Beverages,Food & Beverage
335,332,Jude Reyes,7.0,67.0,United States,Food distribution,Food & Beverage
336,332,J. Christopher Reyes,7.0,69.0,United States,Food distribution,Food & Beverage
337,332,Shapoor Mistry,7.0,58.0,Ireland,Diversified,Diversified
338,332,Rohiqa Cyrus Mistry,7.0,55.0,India,Diversified,Diversified
339,332,Law Kar Po,7.0,74.0,Hong Kong,Real estate,Real Estate
340,332,Dmitri Bukhman,7.0,37.0,Israel,Online games,Media & Entertainment
341,332,Marc Benioff,7.0,58.0,United States,Business software,Technology
342,332,Igor Bukhman,7.0,41.0,Israel,Online games,Media & Entertainment
343,344,Sandra Ortega Mera,6.9,54.0,Spain,Zara,Fashion & Retail
344,344,Ronda Stryker,6.9,68.0,United States,Medical equipment,Healthcare
345,344,Pauline MacMillan Keinath,6.9,89.0,United States,Cargill,Food & Beverage
346,344,Edythe Broad & family,6.9,87.0,United States,"Homebuilding, insurance",Diversified
347,344,Alejandro Bailleres Gual & family,6.9,62.0,Mexico,Diversified,Diversified
348,344,Liu Jincheng & family,6.9,58.0,China,Lithium batteries,Technology
349,344,Philippe Laffont,6.9,55.0,United States,Hedge fund,Finance & Investments
350,344,Igor Olenicoff,6.9,80.0,United States,Real estate,Real Estate
351,352,Dannine Avara,6.8,59.0,United States,Pipelines,Energy
352,352,David Siegel,6.8,61.0,United States,Hedge funds,Finance & Investments
353,352,John Overdeck,6.8,53.0,United States,Hedge funds,Finance & Investments
354,352,Gordon Moore,6.8,94.0,United States,Intel,Technology
355,352,Yuri Milner,6.8,61.0,Israel,Tech investments,Finance & Investments
356,352,"Edward Johnson, IV.",6.8,58.0,United States,Fidelity,Finance & Investments
357,352,Milane Frantz,6.8,53.0,United States,Pipelines,Energy
358,352,Scott Duncan,6.8,40.0,United States,Pipelines,Energy
359,352,Denise Coates,6.8,55.0,United Kingdom,Online gambling,Gambling & Casinos
360,352,Silvio Berlusconi & family,6.8,86.0,Italy,Media,Diversified
361,352,Wang Laisheng,6.8,58.0,China,Electronics components,Technology
362,352,Viktor Vekselberg,6.8,65.0,Russia,"Metals, investments",Diversified
363,352,Randa Duncan Williams,6.8,61.0,United States,Pipelines,Energy
364,365,Ken Fisher,6.7,72.0,United States,Money management,Finance & Investments
365,365,Agnete Kirk Thinggaard,6.7,39.0,Denmark,Lego,Manufacturing
